time,x,y,z
0,0.03,0.0,-0.87
100,0.04,0.0,-0.88
200,0.04,0.0,-0.87
300,0.04,0.0,-0.88
400,0.03,0.0,-0.87
500,0.03,0.0,-0.86
600,0.04,0.0,-0.87
700,0.03,0.0,-0.88
800,0.03,0.0,-0.86
900,0.04,0.0,-0.88
1000,0.04,0.0,-0.86
1100,0.04,0.0,-0.87
1200,0.03,0.0,-0.87
1300,0.04,0.0,-0.86
1400,0.04,0.0,-0.87
1500,0.04,0.0,-0.86
1600,0.04,0.01,-0.87
1700,0.04,0.0,-0.87
1800,0.04,0.0,-0.87
1900,0.04,0.0,-0.87
2000,0.04,0.01,-0.86
2100,0.04,0.0,-0.86
2200,0.04,0.0,-0.88
2300,0.04,0.01,-0.88
2400,0.04,0.0,-0.87
2500,0.04,0.01,-0.87
2600,0.04,0.0,-0.87
2700,0.03,0.0,-0.86
2800,0.03,0.0,-0.87
2900,0.04,0.0,-0.87
3000,0.03,0.0,-0.87
3100,0.04,0.0,-0.86
3200,0.04,0.01,-0.86
3300,0.04,0.0,-0.87
3400,0.04,0.0,-0.87
3500,0.04,0.0,-0.86
3600,0.04,0.01,-0.86
3700,0.04,0.0,-0.87
3800,0.04,0.0,-0.88
3900,0.03,0.0,-0.87
4000,0.04,0.0,-0.86
4100,0.04,0.0,-0.87
4200,0.04,0.0,-0.86
4300,0.04,0.0,-0.87
4400,0.04,0.0,-0.86
4500,0.03,0.01,-0.86
4600,0.03,-0.0,-0.86
4700,0.04,0.0,-0.88
4800,0.03,0.0,-0.87
4900,0.04,0.0,-0.87
5000,0.03,0.0,-0.88
5100,0.04,0.0,-0.86
5200,0.03,-0.01,-0.95
5300,0.05,0.01,-0.82
5400,0.04,0.01,-0.86
5500,0.04,0.0,-0.87
5600,0.04,0.01,-0.88
5700,0.04,0.0,-0.87
5800,0.03,0.01,-0.87
5900,0.04,0.0,-0.87
6000,0.04,0.0,-0.87
6100,0.03,0.01,-0.87
6200,0.04,0.0,-0.88
6300,0.03,0.0,-0.87
6400,0.04,0.0,-0.87
6500,0.04,0.0,-0.87
6600,0.04,0.0,-0.87
6700,0.04,0.0,-0.87
6800,0.04,0.0,-0.87
6900,0.04,0.0,-0.86
7000,0.04,0.0,-0.87
7100,0.04,0.0,-0.87
7200,0.04,0.01,-0.86
7300,0.04,0.0,-0.87
7400,0.04,0.0,-0.86
7500,0.04,0.01,-0.87
7600,0.04,0.0,-0.87
7700,0.04,0.0,-0.88
7800,0.04,0.0,-0.87
7900,0.04,0.0,-0.87
8000,0.04,0.0,-0.87
8100,0.04,0.0,-0.87
8200,0.04,0.0,-0.86
8300,0.03,0.0,-0.87
8400,0.04,0.0,-0.87
8500,0.04,0.0,-0.86
8600,0.04,0.0,-0.86
8700,0.04,0.0,-0.87
8800,0.04,0.0,-0.87
8900,0.03,0.0,-0.86
9000,0.04,0.0,-0.87
9100,0.04,0.0,-0.87
9200,0.04,0.0,-0.87
9300,0.04,0.0,-0.87
9400,0.03,0.01,-0.87
9500,0.04,0.0,-0.87
9600,0.04,0.0,-0.87
9700,0.04,0.02,-0.91
9800,0.04,0.01,-0.86
9900,0.04,0.0,-0.88
10000,0.04,0.0,-0.86
10100,0.03,0.0,-0.87
10200,0.03,-0.01,-0.88
10300,0.03,0.01,-0.86
10400,0.04,0.0,-0.86
10500,0.04,0.0,-0.86
10600,0.02,0.02,-0.84
10700,0.04,0.0,-0.87
10800,0.04,0.0,-0.86
10900,0.03,0.0,-0.88
11000,0.04,0.01,-0.88
11100,0.04,0.0,-0.86
11200,0.03,0.0,-0.86
11300,0.03,0.0,-0.88
11400,0.03,0.01,-0.86
11500,0.04,0.0,-0.88
11600,0.04,0.01,-0.86
11700,0.04,0.01,-0.88
11800,0.04,0.0,-0.87
11900,0.04,0.02,-0.92
12000,0.05,0.0,-0.87
12100,0.02,0.02,-0.8
12200,0.04,0.0,-0.87
12300,0.04,0.0,-0.88
12400,0.04,0.0,-0.87
12500,0.04,0.0,-0.88
12600,0.06,0.02,-0.81
